id,birth_ym,gender,retirement_age,address,zipcode,per_capita_income_in_usd,yearly_income_in_usd,total_debt_id_usd,credit_score,num_credit_cards
258,1968-03-01,Male,68,572 Mountain View Lane,24016,14528,29622,17385,694,3
851,1931-10-01,Female,65,42 Fourth Avenue,40065,19620,31399,2528,757,4
1951,1971-05-01,Female,66,328 Birch Street,21144,31075,63355,0,708,5
1978,2000-12-01,Female,71,76 Birch Drive,75657,15299,31197,84749,844,2
1897,1981-03-01,Male,67,683 Washington Street,11743,51032,104049,247623,741,2
972,1984-05-01,Male,69,215 Plum Boulevard,79906,24608,50177,101323,681,4
1010,1979-12-01,Female,64,5899 Mill Street,29666,16843,34344,48931,548,1
1976,1986-03-01,Female,69,2552 Forest Avenue,21074,27906,56897,0,699,5
91,1981-10-01,Female,72,89 Washington Boulevard,19801,35630,72647,90579,739,1
1201,1959-11-01,Male,66,175 Valley Drive,01778,56632,115465,195657,715,4
1887,2002-01-01,Male,70,729 Wessex Drive,33916,17522,35731,71825,503,2
195,2002-02-01,Female,70,5263 Little Creek Drive,32746,31847,64936,107755,688,2
1317,1978-07-01,Female,68,26 Valley Stream Drive,08232,15157,30910,42507,749,4
1311,1992-11-01,Male,71,79 Sixth Avenue,98366,21219,43264,89798,729,1
662,1987-11-01,Female,71,670 Tenth Drive,60137,42028,85694,120733,822,2
847,1938-04-01,Female,68,864 Main Lane,74434,18585,27864,1371,591,6
685,1998-04-01,Male,68,5263 Fifth Avenue,54911,21828,44513,105303,778,6
617,1992-06-01,Female,69,5048 Catherine Drive,22902,28459,58026,133169,691,1
23,2001-05-01,Female,70,9085 West Drive,78006,31193,63600,102773,645,1
339,2000-07-01,Female,75,640 Bayview Street,39046,15597,31797,5400,843,2
280,1979-10-01,Female,66,3539 Lincoln Boulevard,94804,21869,44585,81825,684,5
1473,1968-11-01,Female,67,6541 Fourth Drive,65714,20316,41427,53773,850,3
65,1968-10-01,Female,72,4514 Elm Street,29169,16928,34517,74143,645,2
736,1992-09-01,Female,66,8440 Park Drive,80026,30072,61317,0,741,3
1670,1951-12-01,Male,65,46 Lincoln Lane,90808,32079,50184,27778,732,4
1776,1972-10-01,Male,75,130 Lincoln Drive,43830,21156,43133,44263,693,3
1474,1996-12-01,Female,65,359 Tenth Avenue,51101,21757,44361,71031,705,1
951,1962-09-01,Female,66,381 Catherine Avenue,90222,13075,26664,12241,709,4
1818,1934-06-01,Female,65,23 11th Avenue,23456,29485,41843,1741,500,3
1450,1998-02-01,Male,70,440 Littlewood Drive,32901,24500,49952,95184,780,1
1524,1993-03-01,Male,60,118 Mountain View Lane,60047,48986,99883,171034,732,1
1789,1979-03-01,Female,65,57 West Boulevard,47532,18898,38527,36933,684,2
767,1988-01-01,Female,63,7096 Park Street,05156,18013,36729,48624,686,3
678,1957-02-01,Female,67,861 Martin Luther King Boulevard,14210,14456,29477,56355,850,4
757,1957-09-01,Female,65,956 Lincoln Boulevard,11203,22674,46232,68957,691,4
1724,1999-05-01,Female,66,489 Fourth Drive,46360,18036,36775,102641,850,3
224,1999-11-01,Female,67,5789 Ninth Drive,11416,19682,40130,55801,798,1
808,1981-11-01,Female,66,1583 Grant Lane,11717,17679,36045,0,683,3
1326,1968-02-01,Female,73,292 Maple Drive,08873,32610,66489,83828,731,2
1928,1963-07-01,Male,68,273 Ocean Street,98642,27308,55682,82696,750,4
1575,1968-05-01,Female,68,23 12th Boulevard,34229,28272,57646,127892,724,4
1608,2000-09-01,Female,68,1464 Bayview Street,79761,19399,39556,132573,572,1
1455,1983-12-01,Male,67,83 Sixth Drive,92102,16838,34330,15223,713,4
1617,1989-10-01,Male,60,105 Seventh Street,21045,37697,76867,118029,659,1
143,1997-06-01,Female,68,5138 Park Drive,60430,25689,52379,107734,771,3
1176,1980-10-01,Male,64,2411 Hillside Lane,47630,28126,57348,119230,527,3
1194,1970-03-01,Male,70,2248 Third Avenue,37406,18658,38041,27813,782,4
423,1991-03-01,Female,70,19 El Camino Drive,85022,26023,53053,42396,696,2
580,1984-05-01,Male,65,5094 Lafayette Boulevard,45822,18077,36857,3112,768,3
4,1965-03-01,Female,72,6016 Little Creek Boulevard,98122,37485,76431,115362,716,5
530,1941-07-01,Male,68,34533 Ninth Avenue,92316,14709,18100,0,682,6
1826,1974-05-01,Female,61,94936 Elm Drive,32159,8155,16628,33926,654,1
595,1941-02-01,Male,66,132 Lexington Drive,27507,18100,29041,4427,699,4
1022,1972-12-01,Female,64,27 Summit Street,28112,17595,35876,50190,635,3
1108,2000-03-01,Male,67,32 First Lane,07044,40216,81995,133788,685,2
246,1969-09-01,Female,70,671 West Drive,55404,40364,82298,0,791,4
270,1989-08-01,Male,62,71682 Catherine Street,41017,30367,61916,165886,655,4
1945,1964-02-01,Female,70,7728 Oak Drive,72204,14736,30042,9208,727,4
1540,1964-09-01,Female,61,1513 Valley Boulevard,45014,21992,44839,63194,625,3
1149,1994-12-01,Male,74,972 Spruce Avenue,33304,29740,60638,132252,661,1
1438,1994-01-01,Female,64,4631 Plum Avenue,44127,14737,30049,80474,700,1
409,1965-08-01,Female,65,7561 Littlewood Street,50701,14568,29699,6569,711,3
694,1990-05-01,Male,66,1598 Elm Street,99508,20519,41836,60302,615,2
382,1964-11-01,Male,68,541 Tenth Street,90037,11329,23103,63635,681,3
629,1947-05-01,Male,70,4388 Hillside Street,21042,39053,57513,11755,793,5
1211,1953-03-01,Female,68,644 South Drive,38114,18759,38249,0,746,4
823,1978-03-01,Female,65,858 Jefferson Avenue,23434,20353,41496,9222,807,2
1304,1995-08-01,Female,70,229 River Avenue,07405,44540,90812,175569,850,3
1751,1990-11-01,Female,66,828 Little Creek Boulevard,63368,30202,61581,241312,736,2
888,1966-06-01,Male,67,817 Forest Street,72076,16462,33566,96597,698,1
81,1953-03-01,Female,68,804 Sixth Boulevard,78155,17440,35560,60397,723,5
1021,1998-11-01,Female,67,218 East Street,91741,31699,64630,92847,751,2
826,1952-11-01,Female,60,563 Birch Drive,30019,26767,57705,22475,684,3
87,1961-05-01,Male,71,663 Second Boulevard,78586,11844,24155,2870,802,3
1833,1993-01-01,Male,71,5514 Norfolk Boulevard,38345,17179,35026,11468,743,5
829,1990-03-01,Female,70,587 East Lane,27332,17854,36404,11745,726,3
1879,1969-05-01,Male,60,659 Valley Drive,28144,18724,38179,50559,609,2
236,1983-03-01,Female,65,4137 Bayview Drive,77401,79100,161276,317964,540,1
1619,1988-06-01,Male,66,693 Seventh Street,75090,15737,32086,53595,747,4
1146,1997-03-01,Female,69,398 Park Boulevard,60608,18395,37505,57014,714,3
803,1951-02-01,Female,73,55 El Camino Boulevard,95382,22799,46487,57336,635,3
193,1996-07-01,Female,65,4343 Mountain View Boulevard,57783,18583,37891,66163,749,1
1686,1965-03-01,Female,67,401 North Avenue,80026,30072,61312,25355,708,3
1959,1973-04-01,Male,59,8750 Lake Boulevard,44024,25565,52130,80367,701,1
1342,1993-01-01,Female,61,883 Federal Street,14043,19983,40744,50803,717,1
1371,1933-06-01,Female,65,143 Catherine Boulevard,96744,24516,49529,1385,689,6
1067,1943-12-01,Male,63,343 Lafayette Drive,67037,24531,41790,24676,719,5
1019,1939-01-01,Female,57,482 Grant Street,91706,15775,29928,2028,713,4
1568,1972-05-01,Female,67,3816 Spruce Drive,11726,21077,42976,58765,748,3
1765,1979-03-01,Male,68,9594 Burns Lane,30824,15755,32126,56283,770,3
1875,1963-04-01,Male,69,4966 Grant Street,44614,22170,45202,71022,683,4
1111,1999-03-01,Female,65,7132 Rose Avenue,33991,17120,34907,64107,742,3
1160,1992-04-01,Male,65,238 Eighth Avenue,16403,16965,34591,65770,688,2
1574,1997-03-01,Female,69,7318 Mill Lane,28574,15661,31933,65405,746,1
189,1978-02-01,Male,70,9566 Tenth Street,78660,25584,52165,97248,730,4
466,1961-08-01,Female,64,416 Madison Street,44683,14477,29519,45597,643,3
659,1962-05-01,Male,67,5079 Sussex Avenue,47446,15981,32583,12501,812,7
942,1982-07-01,Male,65,3914 Mill Street,70769,29006,59139,128870,742,4
1234,1975-10-01,Male,64,7815 Hillside Avenue,77019,30499,62185,114235,749,1
1056,1995-03-01,Female,65,215 Elm Lane,93003,25524,52036,26232,703,3
345,1986-07-01,Male,67,67424 Tenth Boulevard,49048,17409,35499,80517,724,1
308,1976-01-01,Male,65,3675 Bayview Drive,37327,15209,31015,103094,737,2
1922,1940-11-01,Male,65,127 Valley Boulevard,92122,34848,53222,23051,640,1
1156,1963-06-01,Female,69,9603 South Lane,07078,137428,280199,91367,752,5
561,1971-06-01,Male,67,604 Pine Street,52601,18076,36853,112139,834,5
507,1998-02-01,Male,70,79 Burns Drive,07022,18392,37497,0,695,1
1522,1931-10-01,Female,66,41740 First Street,07470,37030,31828,3777,593,3
695,1970-07-01,Female,68,530 Main Boulevard,77573,35246,71866,132580,662,1
285,1957-08-01,Male,69,702 Elm Drive,95076,16920,34496,33122,731,5
113,1946-01-01,Female,71,4 Plum Boulevard,76180,26016,39003,10793,788,5
1039,1951-03-01,Male,64,29 Federal Boulevard,90033,12349,11566,9102,536,4
176,1974-12-01,Female,71,627 Ninth Drive,30316,25586,52172,66085,667,4
1104,1928-03-01,Male,66,120 Lafayette Boulevard,33060,18266,40141,805,850,6
946,1971-05-01,Male,66,2981 Ninth Boulevard,15650,19486,39733,79302,781,4
1465,1991-02-01,Female,65,8463 Second Street,45068,25333,51651,22705,801,3
25,1997-03-01,Female,64,814 Washington Street,85283,24122,49190,122458,630,1
571,1977-11-01,Male,68,8580 Valley Stream Avenue,25401,18003,36711,84949,739,4
1396,1997-05-01,Male,61,666 Lafayette Lane,21075,22728,46344,66994,732,3
1074,1957-06-01,Female,65,1305 Spruce Boulevard,57717,16097,32819,25393,826,5
214,1989-08-01,Male,62,437 Madison Street,60608,23446,47803,81929,652,1
520,1974-04-01,Male,66,3346 Hillside Street,19518,28278,57658,74288,766,5
288,1974-05-01,Female,69,9891 Valley Drive,39038,10909,22249,20420,789,3
1979,1982-02-01,Female,68,731 Lincoln Boulevard,33431,31706,64647,58250,738,4
1253,1987-10-01,Female,64,1782 South Boulevard,06403,28814,58749,113308,768,6
1346,1966-03-01,Female,65,696 Oak Boulevard,93740,17985,36672,99454,655,2
1622,1979-01-01,Female,61,1063 Federal Boulevard,02021,38878,79271,211919,759,1
852,1985-01-01,Female,68,955 11th Street,32643,19693,40156,70128,738,3
1394,1989-04-01,Female,58,341 Hill Drive,63110,28373,57853,131828,558,4
957,1946-09-01,Female,64,862 Martin Luther King Drive,20874,33637,37789,24575,605,3
515,1958-10-01,Male,63,9525 First Boulevard,75601,20531,41865,60911,676,4
1303,1953-03-01,Male,69,602 First Street,44149,30381,61937,138153,684,7
1287,1987-07-01,Female,67,698 11th Lane,27889,15827,32274,72974,545,1
296,1971-03-01,Male,71,9570 North Drive,07070,37170,75785,117920,814,3
1059,1969-04-01,Male,64,9762 Pine Street,28732,22345,45560,79660,644,3
1378,1973-03-01,Female,67,778 Main Avenue,54136,20013,40810,65643,614,4
1297,1961-11-01,Male,67,669 Wessex Lane,72016,18817,38371,50530,703,3
1727,1973-10-01,Female,67,31 Oak Avenue,29201,23917,48762,143208,771,6
310,1994-02-01,Male,61,4840 Summit Lane,95672,28660,58435,134789,666,2
673,1971-07-01,Male,68,1772 Essex Boulevard,24179,19188,39124,66231,722,4
1283,1970-01-01,Male,65,720 Seventh Avenue,98607,31226,63673,147913,591,4
1239,1985-11-01,Female,65,5449 Lexington Drive,92840,18679,38081,28613,811,4
1691,1996-11-01,Female,61,5459 El Camino Avenue,29702,14443,29450,36002,692,1
1078,1963-12-01,Female,65,291 Seventh Drive,61748,28237,57576,161107,589,2
124,1988-08-01,Female,70,9833 Forest Street,73501,16829,34311,6971,680,4
99,1956-11-01,Female,65,891 El Camino Lane,33060,26530,54095,76109,753,3
1722,1995-09-01,Female,65,162 Rose Drive,95205,12089,24648,32962,600,1
562,1982-08-01,Female,61,1059 Elm Avenue,80602,32793,66863,89031,673,1
750,1959-01-01,Female,68,475 Oak Boulevard,28274,14793,30165,36972,694,2
1223,1966-06-01,Male,67,822 Ocean Street,60521,92938,189490,448929,717,3
1319,2000-03-01,Female,68,671 George Drive,40324,23827,48582,189348,546,1
575,1935-12-01,Male,65,6478 Valley Stream Avenue,19055,23207,26476,406,813,5
428,1980-11-01,Male,69,6405 Fifth Avenue,03103,27706,56486,116394,689,2
828,1960-03-01,Female,71,85 Littlewood Avenue,78212,17609,35906,69819,659,3
1580,2000-04-01,Female,61,528 Spruce Lane,46304,27261,55587,151141,621,2
1570,1998-04-01,Female,67,100 Seventh Drive,54121,18016,36733,0,761,3
846,1971-11-01,Female,66,58 Catherine Drive,68132,33232,67761,0,745,4
666,1963-02-01,Male,56,919 Lafayette Avenue,37130,22760,36282,14141,725,1
335,1973-07-01,Female,68,75 Birch Lane,33417,27696,56467,66565,688,3
639,1965-02-01,Female,73,82 Jefferson Avenue,44867,18462,37645,46298,654,4
386,1971-11-01,Male,64,3034 Third Boulevard,01608,24506,49967,62509,655,1
886,1999-11-01,Male,67,189 Ninth Lane,19047,31656,64548,14864,726,1
297,1999-09-01,Male,66,354 Main Drive,22473,13938,28421,77772,738,1
1860,1986-06-01,Female,65,689 Littlewood Lane,35650,17271,35213,87653,719,3
581,1971-03-01,Male,67,1813 Second Lane,70062,14696,29962,55000,684,3
1910,1970-05-01,Male,59,710 North Lane,34205,17590,35868,48465,562,4
21,1972-02-01,Male,66,819 Park Boulevard,47803,21131,43084,0,850,3
273,1977-04-01,Female,72,849 Norfolk Lane,44425,18351,37415,66403,665,1
63,1979-12-01,Male,64,390 Tenth Street,07114,17370,35418,51741,660,6
786,2002-02-01,Male,62,4279 West Boulevard,28371,15331,31259,40701,798,2
1886,1993-12-01,Male,66,6693 George Drive,98188,20233,41255,85439,683,2
103,1978-03-01,Female,71,8 Tenth Drive,27609,17056,34774,78060,850,5
1193,1929-11-01,Female,75,6245 River Lane,12601,27934,51717,418,717,5
585,1967-09-01,Male,62,5581 Federal Street,78602,20346,41483,64715,584,1
1532,1991-03-01,Female,65,99 El Camino Drive,21521,17079,34825,65082,759,1
1958,1969-02-01,Male,72,2994 Tenth Lane,28301,18316,37346,64030,680,5
744,1961-10-01,Female,67,927 Ocean View Drive,33130,21923,44699,21685,842,5
1836,1984-10-01,Male,73,356 Mill Street,32159,8491,17316,26872,748,1
477,1962-03-01,Male,67,45 Maple Lane,04429,24259,49467,77465,697,5
1713,2001-11-01,Female,68,3395 Spruce Drive,66118,16795,34242,0,837,1
357,1960-09-01,Female,67,645 Catherine Lane,02111,39312,80156,61817,735,4
535,1968-12-01,Female,63,1248 Second Drive,06450,24393,49737,136056,643,1
778,1959-12-01,Male,60,700 Lexington Avenue,44622,18794,31003,23000,699,3
950,1996-09-01,Female,66,9264 Norfolk Lane,32806,14405,29376,51428,629,1
1080,1963-11-01,Female,63,4581 Eighth Boulevard,31023,14425,29413,46043,703,2
1197,1992-01-01,Female,64,146 Lafayette Drive,98642,27308,55684,114269,722,3
711,1980-10-01,Male,60,6757 Eighth Avenue,62088,20056,40894,51844,657,1
1731,1956-01-01,Female,66,599 First Drive,92336,23172,47242,62224,704,6
451,1954-12-01,Male,67,654 Birch Lane,68132,14199,28951,56777,711,2
1290,1966-06-01,Male,68,6223 Lexington Drive,75002,32580,66428,197102,669,2
1817,1968-02-01,Female,64,25622 Lake Street,77581,36253,73920,166395,683,1
56,1998-02-01,Female,73,5762 River Lane,84112,10539,21490,32587,682,2
1383,1951-04-01,Female,64,315 Norfolk Lane,02143,31849,59938,36978,670,1
1915,1965-06-01,Male,65,758 Sixth Boulevard,10950,25534,52062,97881,775,4
1882,1961-10-01,Male,65,860 Maple Avenue,94587,29097,59322,145137,694,3
1467,1993-09-01,Female,69,229 Norfolk Street,48085,26120,53254,131334,736,1
1791,1958-11-01,Male,67,4975 Madison Boulevard,46202,16045,32716,46919,593,3
447,1940-03-01,Male,68,5336 Tenth Drive,49443,19131,30977,21507,796,5
1640,1952-10-01,Female,71,311 Washington Lane,49221,17144,34954,5942,729,3
636,1973-02-01,Female,69,1342 Hill Lane,60608,11951,24372,63295,793,4
782,1968-07-01,Female,66,2554 11th Lane,43512,18229,37169,93844,722,3
316,1983-08-01,Male,69,995 Martin Luther King Street,77019,19554,39871,73726,719,4
1192,1976-02-01,Female,68,1450 Rose Drive,55052,19630,40026,70877,768,1
787,2000-03-01,Female,67,762 Lake Drive,77478,35183,71740,38238,767,2
251,1998-08-01,Male,66,72834 Grant Boulevard,11550,20152,41087,22720,695,2
490,1933-09-01,Male,68,90 Lexington Drive,78212,29557,33426,1852,699,4
387,1985-10-01,Male,65,8229 Bayview Avenue,44001,22261,45388,64749,723,1
869,1946-09-01,Male,68,9355 Ocean View Drive,30084,22682,34220,0,745,5
1865,2000-09-01,Male,66,616 Catherine Avenue,19333,58297,118862,276156,782,1
268,1999-09-01,Female,62,825 Norfolk Drive,14068,29558,60265,80939,582,3
1124,1974-03-01,Male,66,8385 Mill Boulevard,41385,11644,23740,4313,841,3
721,1980-05-01,Male,67,9735 Birch Street,33130,18828,38386,74820,850,6
813,1973-06-01,Male,70,285 Washington Street,02895,19065,38872,86648,585,1
152,1982-03-01,Female,68,49 Tenth Street,30317,24196,49335,51520,773,3
1896,1969-09-01,Female,79,6695 River Lane,48161,19736,40246,74352,641,5
1028,1970-01-01,Male,66,1012 Hill Drive,60608,39789,81122,112394,682,5
922,2001-04-01,Male,64,5819 Norfolk Drive,33950,14352,29265,37375,647,1
549,1968-04-01,Male,65,774 Wessex Lane,85295,30557,62304,113416,719,4
565,1965-10-01,Male,65,6721 Sussex Drive,75006,21381,43598,15891,757,4
1494,1993-03-01,Male,71,7703 Fourth Avenue,33304,14191,28931,34511,711,4
1809,1977-09-01,Female,71,338 Bayview Lane,20137,35905,73208,115827,664,6
637,1978-02-01,Female,68,794 Lake Street,07676,37908,77288,46160,771,4
1770,1989-09-01,Male,66,6657 West Street,33460,18415,37544,15489,703,4
527,1961-11-01,Male,65,217 Fifth Lane,61319,19926,40628,66552,636,1
1139,1995-04-01,Female,68,418 Elm Street,31830,15433,31469,53555,645,1
1459,1967-02-01,Male,65,9385 Birch Street,87107,15385,31369,0,707,3
1544,1983-09-01,Female,65,7643 Martin Luther King Street,45331,16351,33339,83353,679,2
1174,1994-11-01,Male,65,944 Lexington Boulevard,32533,20273,41338,90737,772,1
112,1965-12-01,Female,66,85 Lafayette Boulevard,13619,17220,35114,24637,686,5
369,1980-09-01,Male,65,5193 East Street,40217,25258,51499,7226,788,4
994,1934-10-01,Female,67,577 12th Lane,08701,13006,9795,396,771,7
1592,2000-09-01,Male,67,1317 Wessex Lane,94002,46616,95045,132371,708,3
1029,1953-03-01,Male,72,9218 Martin Luther King Avenue,33860,17944,36589,86573,676,3
1680,1960-11-01,Female,63,4701 Littlewood Drive,33606,28916,58959,109358,598,2
1052,1958-12-01,Male,61,363 Third Drive,94564,25849,28210,22961,655,2
94,1961-01-01,Female,72,704 Summit Drive,28610,18029,36760,95755,593,2
1720,1964-05-01,Female,60,4941 Ocean View Drive,76102,12175,24827,60261,590,1
1699,1953-01-01,Female,65,9205 Summit Street,95134,51631,52929,37514,737,7
1495,1967-12-01,Male,70,469 Mountain View Boulevard,46202,31114,63433,122550,770,7
1005,1998-11-01,Male,67,78596 Birch Drive,77019,19364,39485,144101,685,1
439,1986-08-01,Female,59,142 Valley Drive,46383,25472,51938,97252,697,2
1285,1951-12-01,Female,53,6723 Maple Street,22003,30622,65298,18684,524,2
1973,1962-01-01,Female,65,501 Grant Lane,30752,15950,32520,29433,731,4
448,1978-08-01,Male,63,992 Martin Luther King Avenue,60466,19359,39472,82626,698,1
1907,1982-05-01,Female,66,4189 Birch Street,96754,16898,34457,48966,666,2
73,1971-12-01,Male,73,2193 Sixth Avenue,12528,26227,53478,73030,674,3
1097,1980-10-01,Male,68,952 Mountain View Boulevard,49431,15863,32343,59006,732,3
1644,1937-01-01,Male,65,637 Seventh Street,29693,15406,31943,1248,686,6
967,1978-10-01,Female,56,9413 12th Boulevard,50456,16081,32789,47679,699,2
1929,1990-08-01,Male,64,1734 George Drive,94134,20536,41873,76725,717,1
1114,1976-01-01,Male,66,9900 Ninth Avenue,47424,18204,37115,58438,685,3
1087,1979-12-01,Female,65,613 George Boulevard,40484,15202,30997,81716,722,2
95,1994-08-01,Female,67,157 Eighth Street,98005,43432,88554,142154,701,2
1778,1990-03-01,Male,63,32595 River Drive,93263,14556,29682,65845,659,2
1031,1959-01-01,Male,68,6762 Second Street,80102,26369,53762,37361,689,8
788,2001-01-01,Female,66,534 Norfolk Lane,10038,26718,54477,72241,802,2
728,1989-07-01,Female,67,385 Grant Street,64057,16224,33076,50117,721,3
1639,1961-05-01,Male,67,1034 Pine Boulevard,16501,24324,49595,68057,676,1
1587,1988-12-01,Male,67,8803 Washington Boulevard,02066,40226,82019,64583,695,3
1883,1943-05-01,Male,66,3462 Ocean Boulevard,95831,26815,51942,22839,723,4
712,1945-03-01,Female,67,54 Lafayette Street,91910,20102,29130,8746,720,5
1414,1948-08-01,Female,66,5822 Fourth Boulevard,25301,16835,13937,3854,783,4
243,1999-03-01,Male,63,592 Hillside Drive,60402,18714,38158,80609,666,1
146,1972-07-01,Female,67,45 Ocean Lane,60510,33701,68710,201796,717,3
1489,1961-11-01,Female,65,9191 Main Avenue,03042,25001,50980,87715,691,1
1232,2002-01-01,Male,69,5504 Spruce Drive,51054,22958,46810,0,747,2
842,1959-02-01,Male,65,945 Third Avenue,98075,50607,103185,206422,564,1
486,1996-04-01,Male,71,938 Maple Boulevard,89115,22907,46704,91946,810,1
763,1985-01-01,Male,61,583 Seventh Street,19096,50579,103126,130160,642,1
704,1968-07-01,Female,67,6840 North Lane,10549,55274,112695,35135,840,6
1409,1996-05-01,Male,65,512 Tenth Street,49423,21668,44181,82622,701,1
1601,1993-05-01,Female,65,388 Third Street,10547,33263,67820,86177,628,2
729,1939-04-01,Female,67,499 Lafayette Lane,46041,16421,24884,1828,850,6
1214,1979-11-01,Male,64,83302 Valley Stream Lane,02035,35544,72470,133421,711,2
1760,1984-11-01,Female,66,610 Lake Drive,62049,17696,36081,118151,682,2
927,1982-06-01,Male,68,13 Federal Street,01801,29122,59375,0,729,2
1667,2002-02-01,Male,70,18 Bayview Avenue,38632,23782,48491,158871,588,1
1796,1959-04-01,Female,67,89075 Spruce Drive,47469,15138,30867,12686,794,3
179,1986-05-01,Female,67,906 Little Creek Drive,28112,19605,39974,64403,652,2
395,1981-02-01,Male,72,1105 Wessex Avenue,76015,24331,49611,110543,739,4
513,1995-10-01,Male,69,841 Spruce Drive,70403,17584,35856,73257,712,4
187,1984-09-01,Female,72,707 Elm Boulevard,24426,17537,35760,62768,830,1
491,1979-06-01,Male,69,2336 George Drive,29607,13249,27013,58806,651,3
1153,1956-04-01,Male,62,690 Catherine Street,80017,24849,58006,20196,774,1
377,1940-01-01,Female,67,305 Pine Avenue,98032,24884,39110,363,750,5
850,1981-12-01,Female,66,422 Burns Street,40165,19661,40087,17392,712,2
1186,1973-10-01,Male,65,12067 Federal Boulevard,19107,17603,35891,87749,577,3
1694,1936-03-01,Female,65,480 Catherine Drive,06905,37213,74753,1585,726,5
716,1988-05-01,Male,70,1495 Elm Boulevard,92230,13002,26511,21869,769,6
1131,1943-04-01,Male,69,2609 Plum Drive,66061,28490,19682,0,683,4
1719,1938-09-01,Female,64,678 Park Drive,33130,19386,23217,2559,616,3
254,1989-05-01,Male,66,323 Eighth Drive,80301,33151,67589,0,734,3
1307,1967-04-01,Female,61,2332 Elm Lane,94596,42685,87030,156474,646,5
1095,1948-02-01,Male,66,493 South Street,11385,19329,22918,11371,750,5
1466,1983-04-01,Female,75,3194 Norfolk Street,19973,17624,35933,23451,812,2
1226,1978-02-01,Male,67,376 Fourth Drive,96795,18080,36860,65049,714,3
1755,1967-02-01,Male,70,302 Park Boulevard,31015,13864,28269,66681,734,6
475,1999-11-01,Male,66,135 Spruce Lane,45875,19827,40426,76199,727,1
1956,1976-08-01,Female,71,93 11th Avenue,92804,18330,37371,3378,739,4
706,1986-09-01,Female,68,212 Ocean View Avenue,94903,33148,67589,106072,602,2
474,1964-04-01,Male,66,455 Little Creek Boulevard,11501,39705,80957,161166,683,6
1259,1955-07-01,Female,69,729 Littlewood Avenue,06897,94302,192269,100192,700,6
320,1985-08-01,Male,75,6444 Madison Drive,85710,17480,35641,64419,625,2
93,1986-08-01,Female,69,850 Birch Avenue,37097,14073,28696,52910,686,4
1182,1989-04-01,Male,65,7350 Fourth Lane,13440,18712,38153,92466,658,1
1327,1999-12-01,Female,67,3183 Burns Boulevard,98674,21093,43006,26144,688,2
1471,1988-11-01,Male,76,7948 Martin Luther King Avenue,38114,10730,21876,20169,786,2
367,1992-08-01,Female,67,8893 Valley Drive,46319,21992,44843,67179,756,2
1050,1976-03-01,Female,65,41332 Lincoln Avenue,27707,17625,35938,47204,670,3
207,1946-10-01,Female,65,518 Main Street,24541,16745,28553,19507,745,5
1838,2001-12-01,Female,68,753 East Avenue,28301,19520,39803,53607,695,1
798,1969-09-01,Female,68,9982 Summit Boulevard,92563,24069,49076,56547,715,4
1207,1978-10-01,Male,65,8425 East Lane,44127,27646,56368,71544,664,3
1012,1984-06-01,Female,66,9006 Ocean Boulevard,19107,16114,32855,94228,693,2
844,1955-02-01,Male,64,364 Eighth Drive,76102,21401,18149,26672,738,2
334,1975-11-01,Male,65,8349 Valley Avenue,44090,19818,40407,25986,697,3
815,2000-06-01,Male,60,57285 Jefferson Avenue,85355,23747,48418,73106,756,2
1100,1958-07-01,Male,73,9888 Washington Boulevard,11756,29337,59815,73325,573,2
407,1996-08-01,Female,66,9392 Fifth Avenue,60608,20822,42454,63754,750,4
1244,1976-05-01,Female,69,580 Fifth Boulevard,28016,16073,32775,72785,637,1
1740,1983-12-01,Male,67,42720 East Drive,53149,28215,57532,61268,735,4
1754,1985-11-01,Female,67,97 Fourth Drive,71953,12910,26325,32456,562,1
1184,1950-01-01,Male,74,20382 Park Drive,94536,33727,68765,75608,798,5
1440,1993-04-01,Male,58,7344 Oak Drive,15857,18965,38670,80894,630,1
200,1962-11-01,Female,65,4940 Ocean View Drive,25555,17918,36528,109785,701,3
1446,1991-04-01,Male,61,54 Burns Avenue,74728,13811,28163,50872,689,4
1263,1963-08-01,Female,70,212 Mountain View Lane,30060,17977,36652,60949,600,3
1483,2001-12-01,Male,70,65690 Bayview Lane,02703,26693,54427,96369,714,2
1085,1992-06-01,Female,66,563 Jefferson Boulevard,92064,36390,74198,16084,838,3
776,1964-12-01,Male,73,905 West Avenue,38114,47798,97455,219213,616,2
890,1983-01-01,Female,66,911 Ocean Boulevard,92831,25592,52181,26792,727,2
1445,1951-06-01,Male,68,8199 Park Boulevard,46510,17969,27939,11243,841,5
74,1965-05-01,Female,74,1444 Plum Boulevard,80909,20579,41957,151027,783,3
1216,1993-11-01,Female,61,9129 Lexington Lane,40475,19666,40102,57857,601,6
797,1958-09-01,Female,69,7945 Fourth Avenue,96814,30410,62005,149968,651,9
1917,1970-05-01,Male,69,3225 Lexington Street,11778,28694,58503,37838,680,4
975,1991-05-01,Female,67,34542 Ninth Drive,14210,14456,29478,39224,675,2
547,1949-05-01,Male,66,111 Hillside Avenue,53115,18351,31901,16285,778,4
347,1991-08-01,Female,63,5671 Sussex Drive,33130,21602,44046,57982,557,3
201,1958-05-01,Male,65,206 Pine Lane,60436,17567,35823,96691,732,3
1368,1990-05-01,Female,69,637 Littlewood Drive,23875,22059,44976,80109,717,2
1547,1992-02-01,Male,66,768 Valley Stream Drive,53901,19635,40035,69241,684,2
1812,1988-05-01,Female,62,551 Essex Drive,72116,25002,50978,76898,574,2
